RTOM,SOD NO,Service,Order Type,Time Range,Task Name, Work Group, Assign Date 
R-GQ,RAM202202090052445,AB-CAB,CREATE,T>1M,RESOLVE CONST ISSUE,GQ-CNR,11-FEB-22
R-GQ,UDT202208050079133,AB-CAB,CREATE-RECON,T>1M,IDENTIFY FACILITIES,GQ-RTOFFICE,05-AUG-22
R-GQ,GE202209300071919,AB-CAB,MODIFY-LOCATION,3D<T<=7D,CONSTRUCT OSP,GQ-GE-OSP-NC,30-SEP-22
R-GQ,GQ202208150055812,AB-CAB,CREATE,T>1M,IDENTIFY FACILITIES,GQ-RTOFFICE,15-AUG-22
R-GQ,GQ202209060065352,AB-CAB,MODIFY-LOCATION,7D<T<=1M,WAIT COMPLETE CHILD,GQ-RTOFFICE,14-SEP-22
R-GQ,GQ202204080051993,AB-CAB,MODIFY-LOCATION,T>1M,WAIT SOP  PROVISION,GQ-RTOFFICE,21-APR-22
R-GQ,GE202207280018901,AB-CAB,CREATE,T>1M,VERIFY CONSTRUCTION,GQ-CNR,09-AUG-22
R-GQ,GQ202205190071485,AB-CAB,MODIFY-LOCATION,T>1M,RESOLVE CONST ISSUE,GQ-RTOFFICE,23-JUN-22
R-GQ,GE202209300090047,AB-CAB,CREATE-OR,3D<T<=7D,CONSTRUCT OSP,GQ-GE-OSP-NC,04-OCT-22
R-GQ,UDT202209200037633,AB-CAB,CREATE-OR,7D<T<=1M,IDENTIFY FACILITIES,GQ-RTOFFICE,20-SEP-22
R-GQ,UDT202210030092158,AB-CAB,CREATE,T<=3D,IDENTIFY FACILITIES,GQ-RTOFFICE,03-OCT-22
R-GQ,GQ202209050022624,AB-CAB,MODIFY-LOCATION,T>1M,WAIT SOP  PROVISION,GQ-RTOFFICE,06-SEP-22
R-GQ,GQ202206250081745,AB-CAB,CREATE,T>1M,RESOLVE CONST ISSUE,GQ-RTOFFICE,29-JUN-22
R-GQ,GE202208040040324,AB-CAB,CREATE,T>1M,RESOLVE CONST ISSUE,GQ-RTOFFICE,15-AUG-22
R-GQ,GE202106110097605,AB-CAB,CREATE-RECON,T>1M,WAIT VOICE REG ID,GQ-RTOFFICE,11-JUN-21
R-GQ,GQ202210040021946,AB-CAB,CREATE,T<=3D,IDENTIFY FACILITIES,GQ-GQ-OSP-MTCE,04-OCT-22
R-GQ,GE202205200001368,AB-CAB,MODIFY-LOCATION,T>1M,WAIT COMPLETE CHILD,GQ-RTOFFICE,25-MAY-22
R-GQ,GQ202209300090037,AB-CAB,MODIFY-LOCATION,3D<T<=7D,CONSTRUCT OSP,GQ-GQ-OSP-NC,30-SEP-22
R-GQ,GE202112230000643,AB-CAB,MODIFY-LOCATION,T>1M,WAIT NOTIFY CUSTOMER,GQ-RTOFFICE,23-JAN-22
R-GQ,RAM202204090068707,AB-CAB,CREATE-OR,T>1M,WAIT VOICE REG ID,GQ-RTOFFICE,09-APR-22
R-GQ,GQ202208160097043,AB-CAB,CREATE,T>1M,RESOLVE CONST ISSUE,GQ-CNR,19-AUG-22
R-GQ,GQ202105220099770,AB-CAB,CREATE,T>1M,WAIT VOICE REG ID,GQ-RTOFFICE,22-MAY-21
R-GQ,GE202209240086710,AB-CAB,CREATE-OR,7D<T<=1M,IDENTIFY FACILITIES,GQ-RTOFFICE,24-SEP-22
R-GQ,GQ202209300071789,AB-CAB,CREATE,3D<T<=7D,CONSTRUCT OSP,GQ-GQ-OSP-NC,30-SEP-22
R-GQ,GQ202110200076076,AB-CAB,MODIFY-LOCATION,T>1M,RECONSTRUCT OSP,CLARITY,12-NOV-21
R-GQ,GQ202210030092057,AB-CAB,CREATE,T<=3D,IDENTIFY FACILITIES,GQ-GQ-OSP-MTCE,03-OCT-22
R-GQ,GE202209190098018,AB-CAB,MODIFY-LOCATION,7D<T<=1M,WAIT COMPLETE CHILD,GQ-RTOFFICE,20-SEP-22
R-GQ,GQ202205070055826,AB-CAB,MODIFY-LOCATION,T>1M,WAIT COMPLETE CHILD,GQ-RTOFFICE,13-MAY-22
R-GQ,GQ202206250081513,AB-CAB,MODIFY-LOCATION,T>1M,IDENTIFY FACILITIES,GQ-GQ-OSP-CDM,25-JUN-22
R-GQ,GE202206210061800,AB-CAB,MODIFY-LOCATION,T>1M,WAIT COMPLETE CHILD,GQ-RTOFFICE,04-JUL-22
R-GQ,GQ202208100088146,AB-CAB,CREATE,T>1M,RESOLVE CONST ISSUE,GQ-RTOFFICE,13-AUG-22
R-GQ,GQ202203240027832,AB-CAB,MODIFY-LOCATION,T>1M,RECONSTRUCT OSP,GQ-GQ-OSP-NC,27-AUG-22
R-GQ,GE202208100088216,AB-CAB,CREATE,T>1M,IDENTIFY FACILITIES,GQ-RTOFFICE,10-AUG-22
R-GQ,RAM202210010020307,AB-CAB,MODIFY-LOCATION,3D<T<=7D,CONSTRUCT OSP,GQ-RAM-OSP-NC,01-OCT-22
R-GQ,GQ202208230098899,AB-CAB,MODIFY-LOCATION,T>1M,RESOLVE CONST ISSUE,GQ-RTOFFICE,27-AUG-22
R-GQ,GQ202111100007315,AB-CAB,MODIFY-LOCATION,T>1M,WAIT NOTIFY CUSTOMER,GQ-RTOFFICE,22-DEC-21
R-GQ,GE202202230087057,AB-CAB,CREATE-OR,T>1M,VERIFY CONSTRUCTION,GQ-CNR,28-FEB-22
R-GQ,RAM202206020040271,AB-CAB,MODIFY-LOCATION,T>1M,WAIT SOP  PROVISION,GQ-RTOFFICE,05-JUN-22
R-GQ,RAM202209300071765,AB-CAB,MODIFY-LOCATION,3D<T<=7D,CONSTRUCT OSP,GQ-RAM-OSP-NC,30-SEP-22
R-GQ,UDT202208030089487,AB-CAB,CREATE,T>1M,IDENTIFY FACILITIES,GQ-RTOFFICE,03-AUG-22
R-GQ,GQ202208120022076,AB-CAB,MODIFY-LOCATION,T>1M,WAIT SOP  PROVISION,GQ-RTOFFICE,28-AUG-22
R-GQ,GE202207250026029,AB-CAB,CREATE,T>1M,RESOLVE CONST ISSUE,GQ-RTOFFICE,15-AUG-22
R-GQ,UDT202207020074304,AB-CAB,CREATE,T>1M,IDENTIFY FACILITIES,GQ-RTOFFICE,02-JUL-22
R-GQ,GQ202208040036220,AB-CAB,MODIFY-LOCATION,T>1M,RESOLVE CONST ISSUE,GQ-RTOFFICE,04-AUG-22
R-GQ,GQ202205050084928,AB-CAB,MODIFY-LOCATION,T>1M,WAIT COMPLETE CHILD,GQ-RTOFFICE,08-JUN-22
R-GQ,GQ202206230030567,AB-CAB,CREATE,T>1M,WIRE MSAN,GQ-RTOFFICE,29-JUN-22
R-GQ,GE202106110097114,AB-CAB,CREATE-RECON,T>1M,WAIT VOICE REG ID,GQ-RTOFFICE,11-JUN-21
R-GQ,UDT202209260033407,AB-CAB,CREATE-RECON,7D<T<=1M,CONSTRUCT OSP,GQ-UDT-OSP-NC,30-SEP-22
R-GQ,GQ202209270050510,AB-CAB,CREATE,7D<T<=1M,CONSTRUCT OSP,GQ-GQ-OSP-NC,27-SEP-22
R-GQ,GE202209140024223,AB-CAB,MODIFY-LOCATION,7D<T<=1M,WAIT COMPLETE CHILD,GQ-RTOFFICE,16-SEP-22
